Id,Questionário: SIMULADO - PROVA 1 (Real),Questionário: SIMULADO - PROVA 2 (Real),Questionário: SIMULADO - PROVA 3 (Real),Questionário: SIMULADO - EXAME - responder até dia 16 de julho (Real),Questionário: QUIZ - 1.1 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 1.2 E 1.3 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 1.4 E 1.5 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 1.6 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 2.1 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 2.2 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 2.3 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 2.4 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 3.1 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 3.2 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 3.3 e 3.4 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 3.5 e 3.6 - VALE PRESENÇA!!! (Real),Questionário: Simulado Prova2 - ERRO (só considerar os 8 alunos que fizeram) (Real),Questionário: QUIZ - 1.7 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - PRÉ-PROVA - VALE PRESENÇA!!! (Real),Total do curso (Real)
143,7,9,9,-,10,2,3.33,1,0,0,0,1,0,2,0,1,-,1,1,59.17
144,8,9,10,-,10,3,10,1,3,2,1,2,1,3,2,-,-,2,3,89.74
145,10,10,10,-,9.38,3,10,0,3,3,1,3,1,1,0,-,-,3,3,90.22
146,6,3,-,-,10,3,10,-,-,-,0,-,-,1,1,0,-,1,0,61.4
147,10,9,9,-,10,2,10,2,1,-,-,2,1,0,1,0,-,0,0,75
148,8,0,7,-,5.63,2,0,3,1,-,0,1,-,0,2,1,-,3,2,46.88
149,10,10,9,-,10,3,10,2,3,3,1,3,1,3,2,2,-,3,3,97.5
150,8,6,4,-,8.13,2,6.67,-,0,0,-,0,1,1,0,1,-,3,1,54.99
151,9,10,10,-,9.38,3,6.67,3,0,0,0,3,1,3,1,1,-,1,3,80.05
152,8,7,7,-,10,2,6.67,3,1,3,0,1,0,1,2,1,-,3,2,72.08
153,8,10,7,9,10,3,6.67,1,2,0,0,2,-,3,2,2,-,2,3,79.4
154,9,10,10,-,10,3,6.67,1,2,1,1,1,-,0,0,1,-,-,2,75.88
155,8,10,9,-,8.75,2,6.67,3,0,1,0,2,0,2,2,0,-,2,2,73.02
156,7,8,10,-,7.5,3,6.67,1,2,3,0,0,0,0,0,0,-,1,3,65.21
157,-,-,-,-,-,0,3.33,-,-,0,0,2,0,-,2,-,-,1,1,32.18
158,-,9,3,8,9.38,3,-,2,0,-,1,1,1,1,-,-,-,1,3,67.26
159,-,-,-,-,10,3,6.67,-,0,-,0,2,0,-,-,-,-,0,2,63.96
160,6,9,10,-,6.88,3,6.67,0,-,-,0,1,0,1,1,-,-,0,-,64.55
161,7,9,10,-,-,2,-,0,1,1,0,2,0,0,0,1,-,1,1,58.33
162,6,4,9,-,9.38,3,6.67,1,1,-,1,1,1,2,1,1,-,1,2,64.99
163,5,5,9,9,8.75,2,10,1,1,0,0,1,0,1,-,0,-,1,-,63.24
164,8,4,-,5,-,2,10,1,1,0,0,0,0,1,0,1,-,1,2,51.43
165,8,8,9,-,10,3,6.67,3,3,3,0,3,1,3,2,2,-,2,2,85.83
166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
167,9,9,-,-,10,2,0,2,3,0,0,-,0,2,-,0,-,0,1,58.46
